psraid	sample	int_date	Date formatted	lang	usr	cregion	state	form	sex	q1	q3	eminuse	intmob	intfreq	home4nw	bbhome1	bbhome2	bbhome3a	bbhome3b	bbhome3c	bbhome3d	bbhome3e	device1a	smart1	q4	bbsmart1	bbsmart2	bbsmart3a	bbsmart3b	bbsmart3c	bbsmart3d	bbsmart3e	bbsmart3f	bbsmart4	cable1	cable2	cable3a	cable3b	cable3c	act19	act87a	act87b	act137	q5a	q5b	q5c	q5d	q5e	q5f	date1a	date2a	date3a	date3b	date4a	date4b	date4c	date4d	date4e	date4f	game1	game2a	game2b	game2c	game2d	game2e	game2f	game3a	game3b	game4	emplnw	emptype1	emptype2	emptype3	stud	job1a	job1b	job1c	job1d	job1e	job1f	job2	job3a	job3b	job3c	job3d	job3e	job3f	job3g	job3h	job4	smjob1	smjob2a	smjob2b	smjob2c	smjob2d	smjob2e	smjob3	smjob4a	smjob4b	smjob4c	smjob4d	smjob4e	snsjob1a	snsjob1b	snsjob1c	snsjob2a	snsjob2b	job5a	job5b	job5c	job5d	auto1a	auto1b	auto1c	auto1d	auto1e	auto2	auto3	age	marital	hh1	par	kidage1	kidage2	kidage3	educ2	edinst	disa	party	partyln	ideo	hisp	birth_hisp	race	inc	ql1a	qc1	zipcode	weight	standwt	0
100060	1	61015	10-06-15	1	R	2	20	1	2	1	2	1	1	4	1	2	 	3	2	3	3	2	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	2	 	2	2	1	1	 	 	 	2	2	2	1	1	1	2	8	1	1	2	2	2	8	8	8	2	2	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	81	5	1	2	 	 	 	6	 	2	1	 	3	2	 	1	99	 	 	67642	1	0.319273696	
100065	1	61915	19-06-15	1	R	3	40	1	2	3	2	1	2	2	1	2	 	2	1	1	1	1	1	2	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	1	 	2	2	2	2	 	 	 	2	 	2	1	1	1	2	2	1	1	1	3	8	8	2	8	3	2	2	2	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	1	77	1	2	1	0	1	0	3	 	2	1	 	3	2	 	1	99	 	 	73086	2.064516129	0.659145695	
100067	1	61015	10-06-15	1	R	2	27	1	1	1	3	1	1	1	1	2	 	3	3	3	3	3	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	1	 	2	1	2	1	 	 	 	2	2	1	1	1	1	2	2	8	2	1	1	2	3	2	3	3	2	2	1	1	2	2	1	3	1	1	1	1	1	1	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	2	2	1	2	2	1	1	1	2	4	4	4	4	4	1	2	52	1	2	2	 	 	 	4	 	2	3	1	2	2	 	1	8	 	 	55395	2.612903226	0.834231271	
100079	1	62315	23-06-15	1	U	3	12	1	2	3	2	1	1	2	1	2	 	3	3	3	3	3	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	1	 	2	2	2	1	 	 	 	2	2	2	2	2	2	1	2	2	1	1	1	3	3	3	2	2	2	2	2	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	2	74	1	2	2	 	 	 	5	 	1	2	 	2	2	 	1	6	 	 	32771	1.903225806	0.607649938	
100080	1	62015	20-06-15	1	S	3	45	2	2	4	4	1	1	2	1	3	 	2	1	1	1	1	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	1	1	 	 	 	1	2	1	2	2	1	2	1	1	2	2	1	2	1	2	1	2	3	2	3	1	2	2	1	8	2	8	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	8	4	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	3	4	4	4	4	1	2	43	1	2	1	0	1	0	6	 	2	3	8	3	2	 	1	98	 	 	29560	2.580645161	0.823932119	
100084	1	61015	10-06-15	1	R	3	1	2	2	2	2	1	1	2	1	2	 	3	3	3	3	3	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	1	2	 	 	 	1	2	1	2	2	1	2	1	2	2	2	2	1	2	2	2	1	8	8	3	1	1	 	1	1	2	4	3	1	1	1	1	1	1	2	 	 	 	 	 	 	 	 	 	1	1	2	2	2	2	3	8	8	2	2	2	2	2	2	2	2	2	1	2	1	3	3	3	3	3	2	2	44	1	3	2	 	 	 	4	 	2	1	 	2	2	 	1	7	 	 	36854	4.64516129	1.483077815	
100091	1	61915	19-06-15	1	S	3	21	2	1	1	3	2	2	 	 	 	 	3	3	3	3	3	1	1	 	2	2	2	2	1	2	2	1	6	1	 	 	 	 	 	 	 	 	 	 	 	1	2	1	 	2	2	2	1	2	2	2	2	1	2	8	1	8	8	8	3	8	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	68	1	2	2	 	 	 	8	 	1	3	1	2	2	 	1	4	 	 	42211	1	0.319273696	
100096	1	61015	10-06-15	1	R	3	5	2	1	3	2	1	1	2	1	2	 	3	2	3	3	3	1	2	4	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	 	2	2	 	 	 	2	2	2	2	 	2	2	2	2	2	2	2	1	2	2	2	8	8	8	3	1	2	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	87	1	2	1	0	1	1	5	 	2	2	 	4	2	 	2	4	 	 	71852	1.774193548	0.566453332	
100102	1	61015	10-06-15	1	U	1	36	2	2	1	2	1	2	2	1	2	 	2	2	1	1	1	1	2	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	1	2	 	 	 	2	2	2	2	 	2	1	2	2	1	1	2	1	2	8	8	8	3	8	3	1	8	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	1	68	3	1	2	 	 	 	8	 	2	2	 	4	2	 	1	99	 	 	10075	1.258064516	0.401666908	
100118	1	61015	10-06-15	1	U	3	1	2	1	1	2	1	1	2	1	2	 	3	3	3	3	3	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	1	1	 	 	 	1	2	2	2	2	2	2	1	1	2	2	1	2	2	2	3	8	9	8	9	1	1	 	1	2	2	2	3	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	4	2	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	2	2	1	1	4	4	4	4	4	3	2	58	1	2	2	 	 	 	6	 	2	1	 	3	2	 	1	7	 	 	36532	1.161290323	0.370769454	
100129	1	62315	23-06-15	1	R	4	30	1	2	4	4	1	1	1	1	2	 	2	1	2	2	1	2	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	1	1	1	 	1	 	 	 	 	 	 	2	 	2	1	1	1	2	2	1	1	1	1	2	8	1	1	2	1	1	2	1	2	2	5	3	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	1	1	1	1	4	4	4	4	4	1	3	31	6	1	1	3	3	0	3	 	2	3	8	3	2	 	5	2	2	 	59043	7.161290323	2.286411631	
100134	1	61015	10-06-15	1	S	2	20	1	1	2	3	2	2	 	 	 	 	3	2	3	2	3	1	2	3	1	2	1	1	 	1	1	2	4	1	 	 	 	 	 	 	 	 	2	2	2	 	 	 	 	 	2	2	2	2	2	1	2	1	2	8	2	8	2	8	3	2	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	85	1	2	2	 	 	 	3	 	1	1	 	3	2	 	1	6	 	 	66051	1.64516129	0.525256726	
100141	1	61015	10-06-15	1	R	3	48	2	2	2	2	2	2	 	 	 	 	3	1	8	8	9	2	 	 	2	2	1	1	 	2	2	1	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	1	8	2	2	2	2	2	8	8	8	8	8	8	1	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	93	5	1	2	 	 	 	1	 	2	2	 	4	2	 	1	1	2	 	78954	4.096774194	1.307992239	
100142	1	61015	10-06-15	1	S	3	45	2	1	4	4	2	2	 	 	 	 	3	3	2	3	3	1	8	1	2	1	1	1	 	1	8	2	4	1	 	 	 	 	 	 	 	 	 	 	 	2	1	1	 	 	2	2	1	1	1	1	1	1	2	2	3	3	2	3	1	2	2	 	1	3	1	 	3	3	4	3	2	3	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	1	2	4	3	4	4	2	2	57	1	3	2	 	 	 	3	 	2	2	 	1	2	 	1	6	 	 	29706	2.967741935	0.947521937	
100143	1	61015	10-06-15	1	U	1	9	2	1	1	3	1	2	1	1	2	 	1	2	1	2	1	1	2	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	 	2	2	 	 	 	2	2	2	2	 	2	2	2	2	1	2	1	1	2	8	8	8	8	8	8	8	8	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	70	1	2	2	 	 	 	8	 	2	2	 	4	2	 	1	9	 	 	6511	1.838709677	0.587051635	
100151	1	61015	10-06-15	1	U	3	51	1	2	2	3	1	2	2	1	2	 	3	1	1	2	2	1	1	 	 	 	 	 	 	 	 	 	 	2	2	1	2	2	1	2	 	2	2	2	2	 	 	 	2	2	1	2	2	2	1	2	2	1	2	2	1	1	2	1	3	1	1	 	4	 	 	 	3	1	1	2	1	2	2	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	36	1	2	1	1	1	0	8	 	2	3	8	8	1	3	2	7	 	 	23452	2.387096774	0.76213721	
100152	1	62415	24-06-15	1	S	4	49	1	2	2	4	1	1	2	1	2	 	3	2	8	3	1	1	2	2	 	 	 	 	 	 	 	 	 	2	2	2	1	1	1	1	 	1	2	2	2	 	 	 	2	 	2	1	2	2	2	2	2	1	1	2	3	8	2	8	1	1	8	2	4	 	 	 	3	1	1	1	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	3	39	1	2	1	0	2	2	6	 	2	1	 	2	2	 	1	6	 	 	84005	3.483870968	1.112308361	
100156	1	62115	21-06-15	1	S	2	27	2	2	1	2	1	2	8	1	2	 	3	3	1	3	8	1	2	3	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	 	2	2	 	 	 	2	2	2	2	 	2	2	1	1	1	2	1	1	2	2	2	8	8	3	3	1	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	85	5	1	2	 	 	 	3	 	2	4	2	3	2	 	1	1	 	 	55014	1.806451613	0.576752483	
100161	1	61015	10-06-15	1	S	3	12	2	2	2	3	1	1	2	1	2	 	1	1	1	1	1	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	1	1	 	 	 	1	1	1	2	2	1	2	1	8	8	8	8	8	2	8	2	8	8	8	3	1	8	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	1	1	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	2	76	5	1	2	 	 	 	7	 	2	2	 	5	2	 	1	6	 	 	32934	1	0.319273696	
100163	1	61015	10-06-15	1	S	2	27	2	2	2	2	1	2	1	1	2	 	2	1	1	1	2	1	2	2	 	 	 	 	 	 	 	 	 	2	1	1	2	2	1	 	2	2	 	 	 	2	2	2	2	 	1	2	1	2	2	2	1	2	2	3	1	3	3	2	3	2	1	 	1	4	2	1	3	2	2	1	4	1	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	2	4	4	4	4	4	1	3	63	1	2	2	 	 	 	8	 	2	3	9	3	2	 	1	6	 	 	55941	1.161290323	0.370769454	
100176	1	62015	20-06-15	1	S	4	53	2	2	2	3	1	2	1	1	2	 	1	1	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	 	2	2	 	 	 	 	 	 	2	 	1	1	2	1	2	2	1	2	1	2	2	1	2	2	2	8	2	2	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	66	1	2	2	 	 	 	8	 	2	2	 	2	2	 	2	5	2	 	99026	3.870967742	1.235898179	
100177	1	61015	10-06-15	1	U	4	41	1	2	1	2	1	1	1	1	2	 	2	2	1	2	2	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	1	 	2	2	2	1	 	 	 	2	2	2	2	2	2	2	2	2	1	2	2	8	2	3	8	3	1	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	2	57	6	2	2	 	 	 	6	 	2	2	 	9	2	 	1	7	 	 	97756	1.677419355	0.535555878	
100178	1	62015	20-06-15	1	U	4	6	2	1	1	2	1	1	3	1	2	 	3	3	3	3	2	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	1	1	 	 	 	2	2	1	2	2	2	2	2	2	2	2	1	1	1	3	1	1	3	2	2	1	2	2	2	2	1	 	2	1	2	1	1	2	1	1	1	1	2	2	2	2	2	2	1	2	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	1	1	1	2	4	4	4	2	4	4	2	19	6	3	2	 	 	 	3	2	2	2	 	3	2	 	1	2	 	 	91306	3.258064516	1.040214301	
100180	1	61015	10-06-15	1	R	4	41	2	1	3	3	1	1	5	2	 	 	2	1	2	1	1	2	 	 	2	2	1	1	 	2	2	2	1	1	 	 	 	 	1	 	2	1	 	 	 	 	 	 	2	 	2	2	1	1	2	2	1	2	1	2	3	2	1	2	1	2	2	2	2	2	1	 	3	1	1	1	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	1	4	4	4	4	4	2	2	28	6	2	2	 	 	 	3	 	2	1	 	2	2	 	1	3	2	 	97470	6.129032258	1.956838783	
100194	1	61015	10-06-15	1	S	2	39	2	2	1	2	1	1	2	1	2	 	2	1	1	1	1	1	2	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	 	2	2	 	 	 	2	2	2	2	 	1	1	2	1	2	2	2	1	2	3	1	8	3	8	3	1	1	 	4	 	 	 	3	1	1	1	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	49	1	2	1	0	0	2	6	 	2	2	 	3	2	 	1	8	 	 	44236	2.483870968	0.793034665	
100205	1	61015	10-06-15	1	S	2	55	2	2	2	2	1	1	2	1	2	 	3	2	3	3	3	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	1	1	 	 	 	2	2	2	1	2	2	2	1	1	2	2	2	2	1	2	3	3	2	3	2	2	2	2	1	3	2	4	3	1	1	1	1	1	1	1	2	2	2	1	1	1	2	2	4	2	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	2	1	1	1	3	4	4	3	3	2	2	45	6	1	1	0	0	1	5	 	2	1	 	8	2	 	1	4	 	 	54768	1.903225806	0.607649938	
100206	1	61015	10-06-15	1	S	4	6	2	2	4	4	1	1	5	1	2	 	2	1	1	2	1	2	 	 	 	 	 	 	 	 	 	 	 	2	1	2	1	1	2	 	2	2	 	 	 	 	 	 	2	 	2	8	1	1	2	1	8	8	2	8	8	8	8	8	2	8	8	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	75	5	2	2	 	 	 	2	 	1	3	8	3	2	 	1	1	1	 	93308	3.612903226	1.153504967	
100207	1	61015	10-06-15	1	R	4	41	1	1	2	1	1	1	3	1	2	 	2	2	2	2	2	1	1	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	2	 	2	2	2	2	 	 	 	2	2	2	2	2	2	2	2	2	1	2	8	2	8	8	8	3	8	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	60	2	2	2	 	 	 	2	 	1	2	 	4	2	 	1	2	 	 	97138	2.483870968	0.793034665	
100208	1	61015	10-06-15	1	U	3	24	1	2	2	2	1	1	2	1	2	 	1	1	1	1	1	1	2	2	 	 	 	 	 	 	 	 	 	1	 	 	 	 	1	1	 	1	2	1	1	 	 	 	2	 	2	2	2	1	2	1	1	1	1	2	2	2	2	2	2	1	2	1	3	 	 	 	3	 	 	 	 	 	 	1	1	1	1	1	1	1	1	2	5	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	2	2	 	 	 	 	 	 	 	 	 	 	1	52	6	3	2	 	 	 	5	 	2	2	 	4	2	 	2	4	 	 	21217	3.64516129	1.163804118	
100209	1	61015	10-06-15	1	S	3	37	1	1	1	2	1	2	5	1	2	 	1	1	1	1	1	1	2	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	2	2	 	2	2	2	2	 	 	 	2	 	2	2	1	2	1	1	2	1	1	2	1	8	8	8	2	2	2	2	6	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	58	1	2	2	 	 	 	3	 	1	1	 	1	2	 	1	3	 	 	27028	2.322580645	0.741538907	
100223	1	61015	10-06-15	1	S	2	29	1	2	1	2	1	1	5	2	 	 	3	3	3	3	3	1	1	 	1	2	1	2	1	2	1	2	5	1	 	 	 	 	2	2	 	2	2	2	2	 	 	 	2	2	2	2	2	2	2	2	2	1	2	3	1	8	2	3	8	2	1	 	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	67	1	2	2	 	 	 	3	 	2	9	9	2	2	 	1	4	 	 	63785	1.677419355	0.535555878	
100229	1	61015	10-06-15	1	R	4	6	1	2	2	2	1	1	4	1	1	1	3	3	1	9	1	1	8	2	2	1	2	1	 	8	1	2	5	1	 	 	 	 	2	1	 	2	1	2	1	 	 	 	2	 	2	2	1	2	1	1	2	1	1	8	1	8	8	8	8	1	1	2	3	 	 	 	3	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	 	 	 	 	 	 	 	 	 	 	2	80	5	1	2	 	 	 	5	 	2	1	 	2	2	 	1	3	 	 	96080	1.322580645	0.422265211	
